"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license","cleaning_fee","neigh_simp","price_3_nights"
"11",720801,"The Coop",10973114,"Bruce",NA,"City of Santa Cruz",36.97242,-122.0118,"Entire home/apt",255,4,93,2021-11-29,0.84,1,17,4,NA,5.1,"City of Santa Cruz",770.1
"12",803241,"Zen Eco Cottage Near The Beach",4227407,"Dee",NA,"Unincorporated Areas",36.9737,-121.98501,"Entire home/apt",250,3,31,2021-07-02,0.3,2,0,1,NA,5,"Unincorporated Areas",755
"13",813667,"Country living near the sea!",4276065,"Brent",NA,"Unincorporated Areas",37.02259,-121.9917,"Entire home/apt",225,3,37,2019-07-30,0.36,3,61,0,NA,4.5,"Unincorporated Areas",679.5
"14",938306,"Hidden Gem Close to Downtown, Beach and Boardwalk",5067791,"Michael And Mary",NA,"City of Santa Cruz",36.97706,-122.02967,"Entire home/apt",215,31,76,2021-10-18,0.92,1,81,5,NA,4.3,"City of Santa Cruz",649.3
"15",1041390,"Santa Cruz Beach & Hike Launch Pad",5733253,"Mp",NA,"City of Scotts Valley",37.04572,-122.0207,"Entire home/apt",105,15,44,2021-07-28,0.43,3,318,4,NA,2.1,"Other",317.1
"16",1072272,"Victorian Beach House Santa Cruz",5177794,"Diana",NA,"City of Santa Cruz",36.96902,-122.02937,"Entire home/apt",339,3,116,2021-12-22,1.13,1,146,35,NA,6.78,"City of Santa Cruz",1023.78
"17",1089732,"Quiet and Serene in Santa Cruz!",4261488,"Hallie",NA,"City of Santa Cruz",36.97975,-122.01388,"Entire home/apt",205,3,86,2021-12-22,0.82,5,80,24,NA,4.1,"City of Santa Cruz",619.1
"18",1148478,"Walker's Paradise Downtown Victorian Guest House",3756788,"Brion",NA,"City of Santa Cruz",36.9746,-122.03026,"Private room",89,6,23,2021-10-24,0.25,5,176,6,NA,1.78,"City of Santa Cruz",268.78
"19",1148519,"Walk in Downtown. Victorian with Private Bathroom",3756788,"Brion",NA,"City of Santa Cruz",36.97301,-122.03215,"Private room",106,7,2,2017-07-18,0.03,5,171,0,NA,2.12,"City of Santa Cruz",320.12
"20",1148574,"Victorian Treasure Downtown, Walk to Everything.",3756788,"Brion",NA,"City of Santa Cruz",36.97465,-122.03155,"Private room",89,6,18,2021-08-28,0.23,5,144,7,NA,1.78,"City of Santa Cruz",268.78
"21",1160421,"Modernist House on Pleasure Point",3234674,"Grace",NA,"City of Capitola",36.95526,-121.97254,"Entire home/apt",650,6,28,2020-02-23,0.31,1,85,0,NA,13,"City of Capitola",1963
"22",1292600,"2 Bedroom Home in Aptos",7028732,"Derik And Angela",NA,"Unincorporated Areas",36.97164,-121.81924,"Entire home/apt",275,4,27,2019-07-28,0.27,1,15,0,NA,5.5,"Unincorporated Areas",830.5
"23",1411602,"Hacienda Almar in West Santa Cruz",7609624,"Shelby",NA,"City of Santa Cruz",36.9603,-122.04259,"Entire home/apt",200,15,7,2019-07-06,0.07,2,93,0,NA,4,"City of Santa Cruz",604
"24",1411830,"The Seabright Beach Bungalow",7611557,"William",NA,"City of Santa Cruz",36.9659,-122.00963,"Entire home/apt",375,5,34,2021-11-28,0.5,1,86,9,NA,7.5,"City of Santa Cruz",1132.5
"25",1434279,"Victorian Cottage on West Cliff Drive 18-0089",7708882,"Khristina",NA,"City of Santa Cruz",36.95912,-122.02632,"Entire home/apt",264,4,62,2021-12-05,0.61,2,297,12,NA,5.28,"City of Santa Cruz",797.28
"26",1434388,"Carriage House on West Cliff Drive 18-0090",7708882,"Khristina",NA,"City of Santa Cruz",36.95759,-122.02633,"Entire home/apt",285,4,96,2021-09-17,0.94,2,214,14,NA,5.7,"City of Santa Cruz",860.7
"27",1508357,"Private Cabin/beach house!",4373958,"Carlo",NA,"Unincorporated Areas",36.97476,-121.90147,"Entire home/apt",499,3,31,2021-10-12,0.31,1,362,5,NA,9.98,"Unincorporated Areas",1506.98
"28",1615910,"Private Home - Capitola, California",8600588,"Dale",NA,"City of Capitola",36.96454,-121.96323,"Entire home/apt",210,6,2,2019-06-20,0.03,2,23,0,NA,4.2,"City of Capitola",634.2
"29",1623405,"Cozy mountain home in the redwoods, near the beach",7677959,"John",NA,"Unincorporated Areas",37.04067,-122.15158,"Entire home/apt",302,3,9,2021-12-26,1.39,1,80,9,NA,6.04,"Unincorporated Areas",912.04
"30",1629040,"Nicely's ~ Unit 2- Flat/Studio Full Apt.",8658341,"Daniel & Michelle",NA,"City of Santa Cruz",36.97684,-122.03135,"Entire home/apt",316,3,111,2021-09-06,1.11,2,190,7,NA,6.32,"City of Santa Cruz",954.32
"31",1720522,"Lovely Comfy Santa Cruz Artist's Home",179559,"Nicole & Sam",NA,"City of Santa Cruz",36.97279,-122.04007,"Entire home/apt",450,7,64,2019-11-29,0.67,1,31,0,NA,9,"City of Santa Cruz",1359
"32",1998795,"HARBOR HOUSE",9579701,"Matt",NA,"City of Santa Cruz",36.96685,-122.00024,"Entire home/apt",525,5,3,2014-03-24,0.03,1,30,0,NA,10.5,"City of Santa Cruz",1585.5
"33",2150339,"Work, Play & Stay by the Beach... Suite B",10974040,"J.R.",NA,"Unincorporated Areas",36.98119,-121.92326,"Entire home/apt",88,3,276,2021-12-22,2.88,2,314,37,NA,1.76,"Unincorporated Areas",265.76
"34",2256771,"Natural Bridges Beach House **30 Day Minimum** ASK",11524829,"Susan",NA,"City of Santa Cruz",36.95286,-122.05531,"Entire home/apt",675,30,7,2019-08-15,0.11,1,0,0,NA,13.5,"City of Santa Cruz",2038.5
"35",2483297,"Private, Cozy, Quiet, Westside SC Cottage",12705485,"Beth",NA,"City of Santa Cruz",36.97421,-122.03983,"Entire home/apt",171,30,429,2021-11-20,4.52,1,183,7,NA,3.42,"City of Santa Cruz",516.42
"36",2566638,"Cute Downtown Cottage",13141810,"Roger",NA,"City of Santa Cruz",36.97197,-122.03104,"Entire home/apt",210,10,16,2020-01-05,0.21,1,56,0,NA,4.2,"City of Santa Cruz",634.2
"37",2777663,"Spectacular Aptos Home / Steps From Beach / Clean!",9110967,"Scott",NA,"Unincorporated Areas",36.97149,-121.90503,"Entire home/apt",277,4,53,2021-12-27,0.57,1,6,8,NA,5.54,"Unincorporated Areas",836.54
"38",2817824,"Aptos Beach House-perfect getaway!",14414366,"Betty",NA,"Unincorporated Areas",36.97142,-121.90433,"Entire home/apt",232,3,220,2021-12-18,2.53,1,154,27,NA,4.64,"Unincorporated Areas",700.64
"39",2979438,"Sunny Cove Beach house! Starbucks, WiFi, Fam FUN!",15196738,"Ansel'S Getaway",NA,"Unincorporated Areas",36.9636260650684,-121.990495850538,"Entire home/apt",705,3,50,2021-11-28,0.71,1,302,9,NA,14.1,"Unincorporated Areas",2129.1
"40",3084796,"Seabright Contemporary Studio",4549298,"Anina",NA,"City of Santa Cruz",36.97459,-122.00339,"Entire home/apt",107,8,45,2021-12-16,0.49,1,283,7,NA,2.14,"City of Santa Cruz",323.14
"41",3193555,"Victorian by the Sea",16186915,"Nicole",NA,"City of Santa Cruz",36.96541,-122.02425,"Entire home/apt",614,3,27,2021-12-21,0.35,1,250,9,NA,12.28,"City of Santa Cruz",1854.28
"42",3210074,"Peaceful & Private Seabright, 1 mile from beach",16264860,"Daisy",NA,"City of Santa Cruz",36.97507,-122.00634,"Entire home/apt",306,3,278,2021-12-19,3.03,1,81,49,NA,6.12,"City of Santa Cruz",924.12
"43",3351870,"La Selva Beach Getaway",4153526,"Bob",NA,"Unincorporated Areas",36.92174,-121.85153,"Entire home/apt",414,5,69,2021-09-21,0.76,1,327,4,NA,8.28,"Unincorporated Areas",1250.28
"44",3406029,"Quiet oceanside condominium",17178856,"Alison",NA,"City of Santa Cruz",36.96071,-122.04971,"Entire home/apt",136,30,16,2021-08-12,0.18,1,212,1,NA,2.72,"City of Santa Cruz",410.72
"45",3636859,"West Cliff Wharf View",18341926,"Jewlia",NA,"City of Santa Cruz",36.95665,-122.02707,"Entire home/apt",465,3,36,2019-10-31,0.4,1,0,0,NA,9.3,"City of Santa Cruz",1404.3
"46",3697820,"Guest apartment in beautiful Tuscan Villa 2Br 1Bth",10161234,"John",NA,"Unincorporated Areas",36.96594,-121.87515,"Entire home/apt",211,3,52,2019-08-11,0.8,1,205,0,NA,4.22,"Unincorporated Areas",637.22
"47",3768985,"Spacious Family Home-Hot Tub",19983373,"Carol Or Jewlia",NA,"City of Santa Cruz",36.96724,-121.99614,"Entire home/apt",575,30,27,2021-09-24,0.31,1,355,10,NA,11.5,"City of Santa Cruz",1736.5
"48",3936343,"Seabright Harbor Hideaway",171036,"Karen",NA,"City of Santa Cruz",36.96544,-122.00594,"Entire home/apt",250,30,62,2021-11-14,1.01,2,28,25,NA,5,"City of Santa Cruz",755
"49",4052057,"Close to Everything Seabright!",4261488,"Hallie",NA,"City of Santa Cruz",36.97976,-122.0139,"Entire home/apt",301,3,70,2021-11-29,0.8,5,59,18,NA,6.02,"City of Santa Cruz",909.02
"50",4277573,"A Holiday Ocean Lover’s Delight!",22205329,"Roxanne",NA,"City of Santa Cruz",36.95485,-122.04503,"Entire home/apt",600,14,6,2016-08-08,0.07,1,0,0,NA,12,"City of Santa Cruz",1812
"51",4458001,"West Cliff Hideaway-DISCOUNT> 30 DAY MIN/FAST WiFi",23133067,"Robin",NA,"City of Santa Cruz",36.9565,-122.03926,"Entire home/apt",245,28,20,2021-12-11,0.23,1,247,4,NA,4.9,"City of Santa Cruz",739.9
"52",4461365,"Great home, great location.",17645300,"Ron",NA,"City of Santa Cruz",36.97929,-122.04409,"Private room",95,5,14,2019-07-07,0.17,1,71,0,NA,1.9,"City of Santa Cruz",286.9
"53",4549651,"Nicely's ~Unit 1- 1 Bed Apartment w/ Ensuite'",8658341,"Daniel & Michelle",NA,"City of Santa Cruz",36.97567,-122.03084,"Entire home/apt",425,3,102,2021-10-31,1.18,2,147,7,NA,8.5,"City of Santa Cruz",1283.5
"54",4604017,"3BD 2.5Bath Townhouse",521723,"Scott",NA,"City of Scotts Valley",37.04988,-122.02722,"Entire home/apt",225,7,13,2020-08-07,0.16,3,143,0,NA,4.5,"Other",679.5
"55",4831433,"Santa Cruz Beach Cottage Getaway",16023185,"Yvonne",NA,"City of Santa Cruz",36.96555,-122.00776,"Entire home/apt",283,3,196,2021-12-26,2.34,1,18,64,NA,5.66,"City of Santa Cruz",854.66
"56",5090998,"Peaceful Creekside Studio Under the Redwoods",8596302,"Tari",NA,"Unincorporated Areas",37.05537,-122.07939,"Entire home/apt",158,3,94,2021-11-27,1.12,1,338,25,NA,3.16,"Unincorporated Areas",477.16
"57",5288921,"Ocean Moderne",5977652,"Barbara",NA,"City of Santa Cruz",36.95327,-122.03798,"Entire home/apt",500,30,5,2017-09-18,0.06,2,181,0,NA,10,"City of Santa Cruz",1510
"58",5328145,"SantaCruz-Aptos-Beach Home-by-The -Sea",26598591,"Myra",NA,"Unincorporated Areas",36.97153,-121.90045,"Entire home/apt",188,3,175,2021-12-13,2.09,1,170,38,NA,3.76,"Unincorporated Areas",567.76
"59",5443596,"Pleasure Pt Beach Home/Moran Lagoon View",20495088,"De Anna",NA,"City of Capitola",36.96073,-121.97431,"Entire home/apt",367,3,122,2021-11-21,1.49,1,175,14,NA,7.34,"City of Capitola",1108.34
"60",5658791,"La Maison: Summertime Splendor in a ring of oaks",29331037,"Brad",NA,"Unincorporated Areas",37.04925,-122.0526,"Entire home/apt",200,4,7,2021-08-01,0.23,2,0,1,NA,4,"Unincorporated Areas",604
"61",5748537,"Santa Cruz Launchpad Studio Suite",5733253,"Mp",NA,"City of Scotts Valley",37.04381,-122.01923,"Entire home/apt",77,10,33,2021-12-10,0.45,3,233,6,NA,1.54,"Other",232.54
"62",5784008,"2 great granny apts in quiet area",5733253,"Mp",NA,"City of Scotts Valley",37.04377,-122.02088,"Entire home/apt",150,14,0,NA,NA,3,0,0,NA,3,"Other",453
"63",6107532,"Spectacular Ocean Front Luxury Home",31691139,"Michelle",NA,"City of Capitola",36.97296,-121.94828,"Entire home/apt",500,30,5,2021-09-12,0.12,2,288,1,NA,10,"City of Capitola",1510
"64",6199468,"Wonderful House in Pleasure Point",32149853,"Neill",NA,"City of Capitola",36.96265,-121.9685,"Entire home/apt",593,6,12,2021-11-27,0.15,1,153,5,NA,11.86,"City of Capitola",1790.86
"65",6276714,"La Selva Beach Ocean View! Santa Cruz area",31183990,"Lori",NA,"Unincorporated Areas",36.9291,-121.85776,"Entire home/apt",300,3,45,2021-10-11,0.98,1,322,8,NA,6,"Unincorporated Areas",906
"66",6285260,"Bright Home Near Beach & Boardwalk",10293347,"Kristin",NA,"City of Santa Cruz",36.95908,-122.04058,"Entire home/apt",295,3,89,2021-11-28,1.12,1,182,20,NA,5.9,"City of Santa Cruz",890.9
"67",6317885,"Westside Home close to UC+Dwntwn",5146239,"David",NA,"City of Santa Cruz",36.97631,-122.03572,"Entire home/apt",208,30,202,2019-04-28,2.53,1,309,0,NA,4.16,"City of Santa Cruz",628.16
"68",6318224,"Charming Seabright Beach Bungalow",31309636,"Colleen",NA,"City of Santa Cruz",36.97122,-122.00749,"Entire home/apt",354,7,163,2021-09-19,2.03,1,64,14,NA,7.08,"City of Santa Cruz",1069.08
"69",6434158,"Family Friendly, Cozy, Close to Everything  3BR",33585137,"Hal",NA,"City of Santa Cruz",36.9784,-122.00927,"Entire home/apt",225,4,61,2021-08-01,0.76,1,16,3,NA,4.5,"City of Santa Cruz",679.5
"70",6623286,"Central Modern Cottage",6002,"Lora",NA,"City of Santa Cruz",36.97917,-122.01665,"Entire home/apt",165,28,9,2021-07-25,0.11,1,27,2,NA,3.3,"City of Santa Cruz",498.3
"71",6643947,"Midtown Garden Cottage",34775074,"Lori",NA,"City of Santa Cruz",36.98396,-122.01313,"Entire home/apt",99,31,138,2021-12-12,1.73,1,291,1,NA,1.98,"City of Santa Cruz",298.98
"72",6870012,"Seabright Cottage",11542280,"Grace",NA,"City of Santa Cruz",36.96917,-122.0102,"Entire home/apt",174,5,68,2021-11-27,0.87,1,223,14,NA,3.48,"City of Santa Cruz",525.48
"73",7071301,"Sunny, modern/contemporary one-bedroom.",13109799,"Barry",NA,"City of Santa Cruz",36.97377,-122.0079,"Entire home/apt",160,3,190,2021-11-10,2.42,1,63,31,NA,3.2,"City of Santa Cruz",483.2
"74",7132282,"Artists' Bungalow 1 Block From Sea",37355250,"Justin",NA,"Unincorporated Areas",36.96423,-121.99036,"Entire home/apt",199,3,46,2020-08-10,1.11,1,87,0,NA,3.98,"Unincorporated Areas",600.98
"75",7367622,"Walk to beach, boardwalk, downtown!",38575093,"Stephen",NA,"City of Santa Cruz",36.97028,-122.01931,"Entire home/apt",125,7,6,2017-07-08,0.08,2,10,0,NA,2.5,"City of Santa Cruz",377.5
"76",7458464,"Ricketts' Retreat",39061742,"Liza",NA,"City of Santa Cruz",36.96732,-121.99854,"Entire home/apt",295,3,52,2021-12-26,0.68,1,297,23,NA,5.9,"City of Santa Cruz",890.9
"77",7577328,"The Cottage Getaway by the Sea",252410177,"Stacia",NA,"Unincorporated Areas",36.9601,-121.89044,"Entire home/apt",202,6,553,2021-12-02,7.1,1,298,43,NA,4.04,"Unincorporated Areas",610.04
"78",7715745,"PELICAN COTTAGE SEASIDE ESCAPE",40535385,"Teri",NA,"City of Capitola",36.97821,-121.95354,"Entire home/apt",175,30,22,2019-11-22,0.29,1,119,0,NA,3.5,"City of Capitola",528.5
"79",7819481,"Midtown to All Things Santa Cruz",7016179,"Jocelyn",NA,"City of Santa Cruz",36.98143,-122.01352,"Entire home/apt",197,3,116,2021-09-20,1.51,1,0,8,NA,3.94,"City of Santa Cruz",594.94
"80",7970950,"Walk to the beach from this classic cottage",42060765,"Gabi",NA,"Unincorporated Areas",36.97004,-121.89578,"Private room",100,6,1,2017-06-23,0.02,1,0,0,NA,2,"Unincorporated Areas",302
"81",8000783,"Victorian Treasure w/ Private Bathroom in Downtown",3756788,"Brion",NA,"City of Santa Cruz",36.97456,-122.03034,"Private room",115,6,10,2021-12-12,0.33,5,171,7,NA,2.3,"City of Santa Cruz",347.3
"82",8032281,"West Side Quiet Luxury Condo",29037392,"Hal",NA,"City of Santa Cruz",36.96439,-122.05285,"Entire home/apt",165,29,10,2021-12-10,0.15,1,268,3,NA,3.3,"City of Santa Cruz",498.3
"83",8055224,"Brite n cozy bungalow near downtown",4226951,"Zeke",NA,"City of Santa Cruz",36.97148,-122.02008,"Entire home/apt",159,30,0,NA,NA,1,0,0,NA,3.18,"City of Santa Cruz",480.18
"84",8132251,"Sunny midtown garden suite ideal locale",19176769,"Kimlin",NA,"City of Santa Cruz",36.98205,-122.01183,"Entire home/apt",138,3,133,2021-12-13,1.74,2,40,1,NA,2.76,"City of Santa Cruz",416.76
"85",8306384,"Clean and modern cottage in nature",519124,"Allie",NA,"Unincorporated Areas",36.94575,-121.85347,"Entire home/apt",90,28,108,2021-10-30,1.41,1,64,5,NA,1.8,"Unincorporated Areas",271.8
"86",8391779,"La Selva Beach House - Ocean Views",42060021,"Siobhan",NA,"Unincorporated Areas",36.923,-121.85428,"Entire home/apt",540,3,29,2021-11-24,0.39,1,243,8,NA,10.8,"Unincorporated Areas",1630.8
"87",8688179,"Blacks Beach Retreat-Steps to Sand",45617858,"Laurie",NA,"Unincorporated Areas",36.96294,-121.99164,"Entire home/apt",329,3,30,2019-11-17,0.43,1,266,0,NA,6.58,"Unincorporated Areas",993.58
"88",8739457,"Davenport Landing Beach: Windsurfer's/Pet's Dream",45849004,"Ginaia",NA,"Unincorporated Areas",37.0246,-122.2133,"Entire home/apt",600,7,7,2017-01-02,0.1,1,0,0,NA,12,"Unincorporated Areas",1812
"89",8955935,"Lovely Tuscan Apartment Blocks from the Beach",29657425,"Chuck",NA,"City of Santa Cruz",36.9711,-122.00583,"Entire home/apt",184,4,219,2021-11-21,3.01,1,34,32,NA,3.68,"City of Santa Cruz",555.68
"90",8972283,"Beach!Great for Traveling Nurses! Great for dogs!",46884769,"Marise And Jon",NA,"Unincorporated Areas",36.98455,-121.89039,"Entire home/apt",80,30,35,2021-10-23,0.47,1,242,8,NA,1.6,"Unincorporated Areas",241.6
"91",9005789,"Modern Coastal Bungalow w/ Loft",28481598,"Marilyn",NA,"Unincorporated Areas",37.00601,-121.94863,"Entire home/apt",152,5,102,2021-10-03,1.4,1,346,15,NA,3.04,"Unincorporated Areas",459.04
"92",9211107,"Aptos Vacation Home",37101155,"Thomas And Kelly",NA,"Unincorporated Areas",36.96822,-121.8759,"Entire home/apt",457,3,97,2021-11-26,1.31,1,356,18,NA,9.14,"Unincorporated Areas",1380.14
"93",9607114,"Beautiful Aptos Oceanview Home",34448849,"Joe",NA,"Unincorporated Areas",36.97348,-121.91462,"Entire home/apt",223,3,38,2021-12-05,0.54,1,101,3,NA,4.46,"Unincorporated Areas",673.46
"94",9837961,"Hawaiian Beach House-1 block beach-Family Friendly",50658872,"Lori",NA,"Unincorporated Areas",36.96164,-121.98303,"Entire home/apt",437,4,53,2021-11-27,0.74,1,308,20,NA,8.74,"Unincorporated Areas",1319.74
"95",10087785,"Gorgeous View! Between Beach and Mountains",25270059,"Sharon",NA,"Unincorporated Areas",36.96598,-121.87535,"Entire home/apt",292,3,203,2021-11-27,2.77,1,176,30,NA,5.84,"Unincorporated Areas",881.84
"96",10338963,"Santa Cruz Westside is the Bestside",4475615,"Serena",NA,"City of Santa Cruz",36.95942,-122.03036,"Entire home/apt",150,28,31,2020-09-13,0.43,1,16,0,NA,3,"City of Santa Cruz",453
"97",10617713,"Bag End",54795841,"Carl",NA,"City of Santa Cruz",36.95554,-122.03767,"Entire home/apt",343,4,152,2021-12-28,2.11,3,342,7,NA,6.86,"City of Santa Cruz",1035.86
"98",10632491,"vintage50s bungalow/goldenoak floors/sweet garden",8655019,"Elizabeth",NA,"City of Santa Cruz",36.98445,-122.01721,"Entire home/apt",89,30,171,2021-12-16,2.37,1,77,7,NA,1.78,"City of Santa Cruz",268.78
"99",10658434,"Bagshot Row",54795841,"Carl",NA,"City of Santa Cruz",36.95336,-122.03675,"Entire home/apt",300,4,147,2021-12-26,2.11,3,354,14,NA,6,"City of Santa Cruz",906
"100",10770524,"Iconic W.Cliff Location With Views!",51003705,"Bailey Property Management",NA,"City of Santa Cruz",36.95047,-122.04604,"Entire home/apt",610,7,17,2021-10-11,0.27,33,309,3,NA,12.2,"City of Santa Cruz",1842.2
"101",10970944,"Santa Cruz Beach House w/ Pool&Spa",56918766,"Ken & Brigit",NA,"Unincorporated Areas",36.96454,-121.9848,"Entire home/apt",581,3,99,2021-12-06,1.38,1,230,22,NA,11.62,"Unincorporated Areas",1754.62
"102",10995673,"Charming West-Side Pied-a-Terre",7609624,"Shelby",NA,"City of Santa Cruz",36.95971,-122.04414,"Entire home/apt",128,4,232,2021-12-27,3.32,2,18,37,NA,2.56,"City of Santa Cruz",386.56
"103",11210011,"Sunny Beach House With Hot Tub",51003705,"Bailey Property Management",NA,"Unincorporated Areas",36.97086,-121.90649,"Entire home/apt",475,3,19,2021-10-31,0.27,33,273,9,NA,9.5,"Unincorporated Areas",1434.5
"104",11395412,"Studio near boardwalk and downtown!",38575093,"Stephen",NA,"City of Santa Cruz",36.97084,-122.01694,"Entire home/apt",70,7,1,2016-06-23,0.01,2,1,0,NA,1.4,"City of Santa Cruz",211.4
"105",11493591,"Chic Rio Del Mar Oasis",51003705,"Bailey Property Management",NA,"Unincorporated Areas",36.97183,-121.90424,"Entire home/apt",357,4,16,2021-10-25,0.33,33,239,7,NA,7.14,"Unincorporated Areas",1078.14
"106",11608524,"Upscale Seascape Townhouse",61444889,"Kelly",NA,"Unincorporated Areas",36.95142,-121.87356,"Entire home/apt",278,3,32,2021-11-24,0.45,1,155,15,NA,5.56,"Unincorporated Areas",839.56
"107",11654856,"Japanese Treat by the Sea",61172688,"Chibo",NA,"Unincorporated Areas",36.97044,-121.90455,"Entire home/apt",225,3,81,2021-10-04,1.15,2,79,17,NA,4.5,"Unincorporated Areas",679.5
"108",11785563,"East Cliff Beach Oasis - Luxury Beach Rental",62761851,"Shannon",NA,"Unincorporated Areas",36.96133,-121.98563,"Entire home/apt",281,3,44,2021-10-04,0.9,1,0,16,NA,5.62,"Unincorporated Areas",848.62
"109",11973375,"Spectacular OV Family Home",11307852,"Michael",NA,"City of Capitola",36.96037,-121.96685,"Entire home/apt",795,4,1,2018-06-18,0.02,1,0,0,NA,15.9,"City of Capitola",2400.9
"110",12018171,"Nestled in the trees",19601744,"Gary",NA,"Unincorporated Areas",36.99201,-121.94768,"Private room",94,4,138,2021-11-01,2.01,1,357,38,NA,1.88,"Unincorporated Areas",283.88
"111",12038970,"The Pleasure Point Beach House",29602216,"Jackie",NA,"City of Capitola",36.95868,-121.97253,"Entire home/apt",367,3,278,2021-12-25,3.97,2,163,52,NA,7.34,"City of Capitola",1108.34
"112",12156331,"105/The Aquarius *BEACH FRONT/ HOT TUB* 3 Nt Min Off Season / 7 Nt Summer / 5 Nt Min Holidays",62542564,"Kendall & Potter Property Mgmt",NA,"Unincorporated Areas",36.95959,-121.98617,"Entire home/apt",632,3,10,2021-05-26,0.2,26,305,5,NA,12.64,"Unincorporated Areas",1908.64
"113",12156361,"468/Captain's Cove *HOT TUB/OCEAN FRONT* 2 Nt Min Off Season / 4 Nt Min Summer/Holidays",62542564,"Kendall & Potter Property Mgmt",NA,"Unincorporated Areas",36.92782,-121.85913,"Entire home/apt",528,4,19,2021-12-05,0.38,26,304,9,NA,10.56,"Unincorporated Areas",1594.56
"114",12156372,"542/Whale Watcher *FULL OCEAN VIEWS* 5 Nights ALL YEAR",62542564,"Kendall & Potter Property Mgmt",NA,"Unincorporated Areas",36.96171,-121.89204,"Entire home/apt",979,5,3,2021-02-17,0.1,26,304,1,NA,19.58,"Unincorporated Areas",2956.58
"115",12156377,"99/ Steps to the Beach *HOT TUB/ CABANA*",62542564,"Kendall & Potter Property Mgmt",NA,"Unincorporated Areas",36.97351,-121.91669,"Entire home/apt",676,3,3,2021-05-24,0.05,26,135,1,NA,13.52,"Unincorporated Areas",2041.52
"116",12156391,"120/Vicky by the Sea *PETS/ WALK TO BEACH* 2 Nt Min Off Season/4 Nt Min Summer/Holiday",62542564,"Kendall & Potter Property Mgmt",NA,"City of Santa Cruz",36.96624,-122.00847,"Entire home/apt",558,3,8,2021-03-14,0.18,26,246,4,NA,11.16,"City of Santa Cruz",1685.16
"117",12156398,"767/Tucker's Sand Dollar BEACHFRONT Retreat 3 Nts minimum Off seas/4 Nts minimum Summer/Holidays",62542564,"Kendall & Potter Property Mgmt",NA,"Unincorporated Areas",36.92134,-121.85372,"Entire home/apt",909,3,2,2021-07-24,0.04,26,221,1,NA,18.18,"Unincorporated Areas",2745.18
"118",12156409,"103/ Pebble at Sunny Cove *OCEAN VIEWS* # Night Min Off Season / 5 Night Minimum Summer/Holidays",62542564,"Kendall & Potter Property Mgmt",NA,"Unincorporated Areas",36.96121,-121.99205,"Entire home/apt",618,3,9,2021-06-13,0.14,26,191,4,NA,12.36,"Unincorporated Areas",1866.36
